fuel_type,kms_run,sale_price,city,body_type,transmission,variant,registered_city,registered_state,rto,make,model,total_owners,car_rating,fitness_certificate,warranty_avail,age
diesel,91280,405399,noida,hatchback,manual,vdi abs,faridabad,haryana,hr51,maruti,swift,1,great,True,False,6
diesel,92527,372899,noida,hatchback,manual,vdi abs,noida,uttar pradesh,up16,maruti,swift,1,great,True,False,6
diesel,81971,604299,noida,luxury sedan,manual,s 1.6 mt,gurgaon,haryana,hr26,hyundai,new elantra,1,great,True,False,8
diesel,118130,243299,noida,hatchback,manual,sportz o 1.4 crdi,noida,uttar pradesh,up16,hyundai,i20,3,great,True,False,9
diesel,124969,367999,noida,hatchback,manual,zdi,ghaziabad,uttar pradesh,up14,maruti,swift,1,great,True,False,7
diesel,133175,289199,noida,hatchback,manual,zdi,ghaziabad,uttar pradesh,up14,maruti,swift,1,great,True,False,10
diesel,110484,391499,noida,sedan,manual,zdi,gurgaon,haryana,hr26,maruti,swift dzire,1,great,True,False,8
petrol,78097,337799,noida,sedan,manual,1.2 smt i vtec,faridabad,haryana,hr29,honda,amaze,2,great,True,False,7
diesel,100995,234399,noida,hatchback,manual,vdi,ghaziabad,uttar pradesh,up14,maruti,ritz,1,great,True,False,9
diesel,123546,215699,noida,hatchback,manual,vdi,ghaziabad,uttar pradesh,up14,maruti,ritz,1,great,True,False,9
diesel,110531,420299,noida,hatchback,manual,magna 1.4 crdi,ghaziabad,uttar pradesh,up14,hyundai,elite i20,1,great,True,False,6
diesel,78027,1149984,noida,suv,automatic,1.6 crdi sx plus auto,meerut,uttar pradesh,up14,hyundai,creta,2,great,True,False,3
diesel,129639,306199,noida,hatchback,manual,vdi,goutam  budd  nagar,uttar pradesh,up16,maruti,swift,1,great,True,False,9
petrol & cng,118559,215299,noida,hatchback,manual,vxi,new delhi,delhi,dl2c,maruti,swift,2,great,True,False,12
diesel,156680,291399,noida,hatchback,manual,vdi,delhi,delhi,dl13,maruti,swift,1,great,True,False,9
petrol & cng,176287,219999,noida,hatchback,manual,lxi cng,delhi,delhi,dl4c,maruti,wagon r 1.0,1,good,True,False,11
diesel,123934,315599,noida,sedan,manual,1.5 emt i dtec,ghaziabad,uttar pradesh,up14,honda,amaze,2,great,True,False,6
diesel,66027,1332390,noida,luxury suv,missing,2.0 tdi quattro mt,delhi,delhi,dl1c,audi,q3,1,great,True,False,7
diesel,88375,789799,noida,suv,missing,1.6 sx crdi,delhi,delhi,dl1c,hyundai,creta,1,great,True,False,6
diesel,180639,312099,noida,sedan,manual,vdi bs iv,goutam  budd  nagar,uttar pradesh,up16,maruti,swift dzire,1,great,True,False,9
diesel,116697,536999,noida,hatchback,manual,asta 1.4 crdi,faridabad,haryana,hr51,hyundai,elite i20,1,great,True,False,6
